"filename", "language", "Python", "Markdown", "JavaScript", "JSON", "PostCSS", "HTML", "JavaScript JSX", "YAML", "comment", "blank", "total"
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\.prettierrc.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 1, 5
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\README.md", "Markdown", 0, 22, 0, 0, 0, 0, 0, 0, 0, 13, 35
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\electron-builder.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 42, 0, 1, 43
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\electron.vite.config.mjs", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\eslint.config.mjs", "JavaScript", 0, 0, 30, 0, 0, 0, 0, 0, 0, 2, 32
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\package-lock.json", "JSON", 0, 0, 0, 9819, 0, 0, 0, 0, 0, 1, 9820
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\package.json", "JSON", 0, 0, 0, 47, 0, 0, 0, 0, 0, 1, 48
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\main\core\ipc\dialogHandlers.js", "JavaScript", 0, 0, 52, 0, 0, 0, 0, 0, 25, 13, 90
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\main\core\ipc\fileHandlers.js", "JavaScript", 0, 0, 150, 0, 0, 0, 0, 0, 245, 50, 445
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\main\core\ipc\kritaHandlers.js", "JavaScript", 0, 0, 42, 0, 0, 0, 0, 0, 0, 4, 46
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\main\core\services\AssetService.js", "JavaScript", 0, 0, 182, 0, 0, 0, 0, 0, 179, 52, 413
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\main\core\services\DirectoryTreeService.js", "JavaScript", 0, 0, 73, 0, 0, 0, 0, 0, 69, 19, 161
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\main\core\services\GuidService.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 13, 4, 22
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\main\core\services\GuidTableService.js", "JavaScript", 0, 0, 57, 0, 0, 0, 0, 0, 144, 15, 216
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\main\core\services\MetaService.js", "JavaScript", 0, 0, 38, 0, 0, 0, 0, 0, 77, 13, 128
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\main\core\services\ProjectService.js", "JavaScript", 0, 0, 125, 0, 0, 0, 0, 0, 146, 29, 300
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\main\core\services\ReconciliationService.js", "JavaScript", 0, 0, 146, 0, 0, 0, 0, 0, 208, 40, 394
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\main\core\services\SceneService.js", "JavaScript", 0, 0, 226, 0, 0, 0, 0, 0, 191, 50, 467
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\main\core\store.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 2, 6, 21
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\main\index.js", "JavaScript", 0, 0, 67, 0, 0, 0, 0, 0, 6, 25, 98
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\preload\index.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\renderer\index.html", "HTML", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 15
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\renderer\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 36, 0, 2, 10, 48
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\renderer\src\_classes\MaterialFactory.js", "JavaScript", 0, 0, 64, 0, 0, 0, 0, 0, 8, 11, 83
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\renderer\src\_classes\MeshFactory.js", "JavaScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 6, 37
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\renderer\src\_classes\ObjectFactory.js", "JavaScript", 0, 0, 75, 0, 0, 0, 0, 0, 2, 17, 94
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\renderer\src\_enums\CameraTypesEnum.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\renderer\src\_enums\GeometryTypesEnum.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\renderer\src\_enums\HandToolsEnum.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\renderer\src\_enums\LightTypesEnum.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\renderer\src\_enums\MaterialSidesEnum.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\renderer\src\_enums\MaterialTypesEnum.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\renderer\src\_enums\ObjectTypesEnum.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\renderer\src\components\ContextMenu.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 51, 0, 1, 10, 62
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\renderer\src\components\TitleBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 19, 0, 0, 3, 22
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\renderer\src\components\menus\HierarchyMenus.js", "JavaScript", 0, 0, 127, 0, 0, 0, 0, 0, 0, 2, 129
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\renderer\src\components\menus\ToolbarMenus.js", "JavaScript", 0, 0, 59, 0, 0, 0, 0, 0, 33, 19, 111
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\renderer\src\components\project\FileIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 38, 0, 15, 6, 59
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\renderer\src\components\project\ProjectGrid.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 98, 0, 51, 24, 173
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\renderer\src\components\project\ProjectTree.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 91, 0, 37, 13, 141
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\renderer\src\context\ProjectProvider.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 10, 0, 0, 5, 15
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\renderer\src\context\useStore.js", "JavaScript", 0, 0, 297, 0, 0, 0, 0, 0, 7, 53, 357
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\renderer\src\core\Hierarchy.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 185, 0, 13, 45, 243
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\renderer\src\core\Inspector.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 56, 0, 3, 11, 70
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\renderer\src\core\Inspector\CameraSection.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 56, 0, 2, 13, 71
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\renderer\src\core\Inspector\InputHelpers\AxisInput.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 32, 0, 4, 7, 43
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\renderer\src\core\Inspector\InputHelpers\CheckboxInput.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 14, 0, 1, 0, 15
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\renderer\src\core\Inspector\InputHelpers\ColorInput.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 22
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\renderer\src\core\Inspector\InputHelpers\NumberInput.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 37, 0, 1, 6, 44
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\renderer\src\core\Inspector\InputHelpers\Vector3Input.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 24, 0, 2, 4, 30
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\renderer\src\core\Inspector\LightSection.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 52, 0, 0, 7, 59
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\renderer\src\core\Inspector\ObjectSection.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 163, 0, 11, 41, 215
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\renderer\src\core\Inspector\TransformSection.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 42, 0, 0, 4, 46
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\renderer\src\core\Project.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 116, 0, 54, 29, 199
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\renderer\src\core\Scene.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 146, 0, 14, 38, 198
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\renderer\src\core\Scene\SceneIcons.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 59, 0, 4, 4, 67
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\renderer\src\core\Scene\SceneNode.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 206, 0, 12, 37, 255
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\renderer\src\core\Scene\SceneOverlay.css", "PostCSS", 0, 0, 0, 0, 73, 0, 0, 0, 1, 12, 86
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\renderer\src\core\Scene\SceneOverlay.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 38, 0, 0, 5, 43
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\renderer\src\core\Scene\SceneRenderer.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 15, 0, 0, 3, 18
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\renderer\src\core\Scene\SceneTransformController.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 37, 0, 1, 10, 48
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\renderer\src\core\Viewport.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 11, 0, 0, 4, 15
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\renderer\src\core\Workspace.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 93, 0, 0, 12, 105
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\renderer\src\css\App.css", "PostCSS", 0, 0, 0, 0, 44, 0, 0, 0, 2, 6, 52
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\renderer\src\css\ContextMenu.css", "PostCSS", 0, 0, 0, 0, 48, 0, 0, 0, 6, 8, 62
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\renderer\src\css\Docker.css", "PostCSS", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\renderer\src\css\FlexLayout.css", "PostCSS", 0, 0, 0, 0, 693, 0, 0, 0, 22, 18, 733
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\renderer\src\css\Hierarchy.css", "PostCSS", 0, 0, 0, 0, 72, 0, 0, 0, 8, 16, 96
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\renderer\src\css\Inspector.css", "PostCSS", 0, 0, 0, 0, 164, 0, 0, 0, 8, 26, 198
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\renderer\src\css\Project.css", "PostCSS", 0, 0, 0, 0, 168, 0, 0, 0, 35, 28, 231
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\renderer\src\index.css", "PostCSS", 0, 0, 0, 0, 104, 0, 0, 0, 8, 18, 130
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\renderer\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 9, 0, 0, 3, 12
"c:\Users\HP\AppData\Roaming\krita\pykrita\bilinear_color_mixer_plugin\__init__.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\HP\AppData\Roaming\krita\pykrita\bilinear_color_mixer_plugin\bilinear_color_mixer_plugin.py", "Python", 92, 0, 0, 0, 0, 0, 0, 0, 9, 26, 127
"c:\Users\HP\AppData\Roaming\krita\pykrita\krita_3d_tool_plugin\__init__.py", "Python", 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\HP\AppData\Roaming\krita\pykrita\krita_3d_tool_plugin\docker_widget.py", "Python", 127, 0, 0, 0, 0, 0, 0, 0, 7, 34, 168
"c:\Users\HP\AppData\Roaming\krita\pykrita\krita_3d_tool_plugin\http_server.py", "Python", 77, 0, 0, 0, 0, 0, 0, 0, 2, 15, 94
"Total", "-", 303, 22, 1935, 9866, 1370, 15, 1756, 46, 1691, 1021, 18025